Sr.No.,Manager,Entries,Ann_Ret,Ann_Vol,Sharpe_Ratio,Drawdown,Skewness,Kurtosis
0,EQUIRUS SECURITIES PRIVATE LIMITED,31,-0.0018815420907469793,0.3651572083893589,-0.18616928733548135,-0.3703779309304385,-1.0924376807665463,5.848421433308624
1,SYSTEMATIX SHARES AND STOCKS (INDIA) LIMITED,31,-0.07067982482887103,0.2805246222026428,-0.4720442303540819,-0.3372275558357408,-1.7945823117998754,8.015119414036167
2,ANVIL WEALTH MANAGEMENT PVT LTD,31,0.04435103546757957,0.2523668884676409,-0.09625390106198303,-0.2630673,-0.5502022028559537,5.863763552486509
3,JAIN INVESTMENT ADVISORS PVT. LTD,31,-0.07182455778792107,0.1867722781875159,-0.7139330526489973,-0.255810444464018,-1.2703625783013606,6.397580524448188
4,HARMONEY WEALTH ADVISORY SERVICES INDIA PVT LTD,31,-0.13877412795962485,0.2713048269953333,-0.7235949925064085,-0.49474492825800787,-1.1250524934978048,7.3777322197974
5,TAMOHARA INVESTMENT MANAGERS PRIVATE LIMITED,31,0.048932337967231954,0.16345384492068343,-0.12158687444637657,-0.15936545286624618,-0.4144609988568083,3.931308738177969
6,ANIVED PORTFOLIO MANAGERS PVT. LTD.,31,-0.06474951796713824,0.2645710409091326,-0.47932769199565567,-0.3526744055637956,-1.598237735754805,7.8452558716738645
7,NJ ADVISORY SERVICES PRIVATE LIMITED,31,-0.020597656662523445,0.1507704352896129,-0.5650387588626563,-0.1853939664548926,-0.6922222293591777,5.8592153740838215
8,TATA ASSET MANAGEMENT  LIMITED,31,0.009363970726751658,0.1665267341745424,-0.3426536376172271,-0.19215660000000007,-1.3658991865576482,6.44548616043304
9,ANGEL BROKING LTD.,31,-0.018733313399929674,0.11574616139341488,-0.7206494953080411,-0.12396800000000024,0.4422279160205771,4.864961771352118
10,TAURUS TREASURY MANAGEMENT SERVICES PRIVATE LIMITED,31,-0.020910323754561033,0.0849095522875808,-1.006293624635215,-0.18242645484286207,-2.6482373579577274,8.742573293180218
11,NINE RIVERS CAPITAL HOLDINGS PRIVATE LIMITED,31,-0.14402285167419426,0.3372141772743826,-0.5970786764751923,-0.569389473725708,-0.6763361145072213,5.132368563199622
12,ESCORP ASSET MANAGEMENT LIMITED,31,-0.0819056549037851,0.1613320902822458,-0.8850122169847044,-0.22812999516126442,-0.5109976277218731,4.027307165480593
13,ANAND RATHI ADVISORS LIMITED,31,0.02954429305371198,0.17456860967502422,-0.2182833041535713,-0.18937974629061954,-0.7377913225600999,6.678026475432912
14,DOHA BROKERAGE AND FINANCIAL SERVICES LTD,31,0.8575256756950536,0.056142369716813294,13.203783403242536,0.0,1.4808122582527303,6.533149734614601
15,Marathon Trends Advisory Private Limited,31,0.03456558654478359,0.21717104700985085,-0.15400134545522248,-0.22200000000000003,-1.3213672456788856,7.154523383602427
16,O3 SECURITIES PRIVATE LIMITED,31,-0.054790585168022155,0.12171948664728018,-0.9635845813399206,-0.21731352029203846,-0.6290081015966533,3.119815268909762
17,Aquamarine Investment Managers LLP,31,0.05591744892341155,0.140121144848122,-0.09482953589377771,-0.10504826190060268,0.2768555017285697,3.6038258643292767
18,SYKES & RAY EQUITIES INDIA LIMITED,31,0.002186855746315164,0.2041832270132598,-0.31268107587206206,-0.24688890000000002,-0.9088222494490622,7.871137910759743
19,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,31,-0.06985882681773736,0.2730615796836948,-0.48202485618959157,-0.3272131999999999,-1.35242447525081,6.755457854892765
20,DARASHAW & COMPANY LTD,31,-0.04629538061756777,0.1706012854544469,-0.640967023028776,-0.26740148208626946,-1.1889420596277003,7.217337196405138
21,GUARDIAN ADVISORS PVT LTD,31,-0.15291084796316234,0.35338591110532674,-0.593359496087576,-0.5158433561830977,-0.178480460210108,3.18679042915111
22,STEWART & MACKERTICH WEALTH MANAGEMENT LIMITED,31,-0.15599752964719393,0.2635336615874288,-0.806208104960106,-0.4952248083016244,-1.0417524099913222,5.424869043137612
23,ASK INVESTMENT MANAGERS LIMITED,31,-0.023794380359447698,0.22347483874245827,-0.39504733889462523,-0.24906439999999994,-1.5888184523972713,7.220021730889456
24,SUMEDHA FISCAL SERVICES LIMITED,31,0.0018621518472750065,0.16184624403945064,-0.3960768667038995,-0.1904398,-1.1139436867241632,7.730725777417479
25,OLD BRIDGE CAPITAL MANAGEMENT PVT. LTD.,31,-0.06300682164766624,0.27505922349735473,-0.4551039307965164,-0.4161212799658785,-0.9515844803981154,5.4684935721648475
26,THAUMATURGY CAPITAL SERVICES PRIVATE LIMITED,31,-0.06105149928828035,0.20246226251312976,-0.608902083741823,-0.3,-4.229347911543407,23.246704910018444
27,Asit C. Mehta Investment Interrmediates Limited,31,-0.034288276089641245,0.2263451079015576,-0.43352254618933567,-0.322231697307193,-0.22525754534208303,4.648902896366561
28,JEETAY INVESTMENTS PVT LTD,31,-0.04055430847106323,0.25576368983383735,-0.4069156592533606,-0.31759731897572674,-1.4680203538564907,6.83165370092955
29,OHM PORTFOLIO EQUI RESEARCH PVT LTD.,31,-0.18340912342729487,0.28782074264061225,-0.8277429950339038,-0.5432282337321536,-1.4605685244331326,7.944050045914456
30,MAJORTREND CAPITAL PVT LTD,31,-0.39627227281053534,0.3128805131304508,-1.3993649962635002,-0.7364089459842605,-0.9750783143487141,2.9604867659917935
31,ASIAN MARKETS SECURITIES PRIVATE LIMITED,31,-0.060566844763335737,0.23190548530284572,-0.5296607703776006,-0.31257500190428905,-1.476836593368858,7.277527008809316
